"TreeName","Site","Species","ACC_NUM","ABBREV_NAME","COUNTRY_FULL","SUB_CNT1","SUB_CNT2","SUB_CNT3","LOCALITY","LAT_DEGREE","LAT_MINUTE","LAT_SECOND","LAT_DIR","LONG_DEGREE","LONG_MINUTE","LONG_SECOND","LONG_DIR","ALTITUDE","ALTITUDE_UNIT","DESCRIPTION","COLLECTION_MISC"
"quealb6","Arnold Arboretum","Quercus alba","quealb6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb6A","Arnold Arboretum","Quercus alba","quealb6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb7","Arnold Arboretum","Quercus alba","quealb7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb8","Arnold Arboretum","Quercus alba","quealb8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"quealb9","Arnold Arboretum","Quercus alba","quealb9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16795*A","Arnold Arboretum","Quercus aliena","16795","Q. aliena var. acutes.","China","Western Hubei (Western Hupeh)","Changyang Hsien","","","","",NA,"","","",NA,"","","","",""
"18409*A","Arnold Arboretum","Quercus aliena","18409","Q. aliena var. acutes.","China","Northern Henan (N. Honan)","Tsi Yuan hsien","","Pei ting shan","","",NA,"","","",NA,"","1200","M","",""
"20517*A","Arnold Arboretum","Quercus coccinea","20517","Q. coccinea","United States","Massachusetts","","East Walpole","","","",NA,"","","",NA,"","","","",""
"20517*B","Arnold Arboretum","Quercus coccinea","20517","Q. coccinea","United States","Massachusetts","","East Walpole","","","",NA,"","","",NA,"","","","",""
"7598*A","Arnold Arboretum","Quercus coccinea","7598","Q. coccinea","United States","Alabama","","Valleyhead","","","",NA,"","","",NA,"","","","",""
"7598*B","Arnold Arboretum","Quercus coccinea","7598","Q. coccinea","United States","Alabama","","Valleyhead","","","",NA,"","","",NA,"","","","",""
"7598*H","Arnold Arboretum","Quercus coccinea","7598","Q. coccinea","United States","Alabama","","Valleyhead","","","",NA,"","","",NA,"","","","",""
"7598*J","Arnold Arboretum","Quercus coccinea","7598","Q. coccinea","United States","Alabama","","Valleyhead","","","",NA,"","","",NA,"","","","",""
"1590-52*B","Arnold Arboretum","Quercus dentata","1590-52","Q. dentata","Japan","Honshu","Prov. Mutsu","","foot of Mt. Iwaki","","",NA,"","","",NA,"","","","",""
"1590-52*C","Arnold Arboretum","Quercus dentata","1590-52","Q. dentata","Japan","Honshu","Prov. Mutsu","","foot of Mt. Iwaki","","",NA,"","","",NA,"","","","",""
"16815*A","Arnold Arboretum","Quercus dentata","16815","Q. dentata","","China","","","","Chang-li","",NA,"","","",NA,"","","","",""
"16816*A","Arnold Arboretum","Quercus dentata","16816","Q. dentata","China","","","","at Great Wall","","",NA,"","","",NA,"","","","",""
"1211-77*B","Arnold Arboretum","Quercus glandulifera","1211-77","Q. glandulif.","Japan","Honshu","Aomori Pref.","","Yuze","","",NA,"","","",NA,"","","","",""
"1264-80*B","Arnold Arboretum","Quercus glandulifera","1264-80","Q. glandulif.","Japan","Nagasaki Prefecture","","Isahaya City","Kaizen-cho","","",NA,"","","",NA,"","","","",""
"16823*B","Arnold Arboretum","Quercus glandulifera","16823","Q. glandulif.","Japan","[Fukushima Prefecture]","","Fukushima","","","",NA,"","","",NA,"","","","",""
"16823*K","Arnold Arboretum","Quercus glandulifera","16823","Q. glandulif.","Japan","[Fukushima Prefecture]","","Fukushima","","","",NA,"","","",NA,"","","","",""
"16824*C","Arnold Arboretum","Quercus glandulifera","16824","Q. glandulif.","China","Western Hubei (Western Hupeh)","Fang Hsien","","","","",NA,"","","",NA,"","","","",""
"3672*A","Arnold Arboretum","Quercus glandulifera","3672","Q. glandulif.","Japan","","","Mori","","","",NA,"","","",NA,"","","","",""
"3672*B","Arnold Arboretum","Quercus glandulifera","3672","Q. glandulif.","Japan","","","Mori","","","",NA,"","","",NA,"","","","",""
"3672*C","Arnold Arboretum","Quercus glandulifera","3672","Q. glandulif.","Japan","","","Mori","","","",NA,"","","",NA,"","","","",""
"16847*E","Arnold Arboretum","Quercus macrocarpa","16847","Q. macrocarpa","United States","New York","","","Geneseo Valley","","",NA,"","","",NA,"","","","",""
"16847*F","Arnold Arboretum","Quercus macrocarpa","16847","Q. macrocarpa","United States","New York","","","Geneseo Valley","","",NA,"","","",NA,"","","","",""
"16847*J","Arnold Arboretum","Quercus macrocarpa","16847","Q. macrocarpa","United States","New York","","","Geneseo Valley","","",NA,"","","",NA,"","","","",""
"16847*M","Arnold Arboretum","Quercus macrocarpa","16847","Q. macrocarpa","United States","New York","","","Geneseo Valley","","",NA,"","","",NA,"","","","",""
"11253*A","Arnold Arboretum","Quercus rubra","11253","Q. rubra","United States","North Carolina","Highlands","","","","",NA,"","","",NA,"","","","",""
"16882*B","Arnold Arboretum","Quercus rubra","16882","Q. rubra","United States","Alabama","","Birmingham","","","",NA,"","","",NA,"","","","",""
"5859*B","Arnold Arboretum","Quercus rubra","5859","Q. rubra","United States","New Hampshire","","Littleton","","","",NA,"","","",NA,"","","","",""
"8197*A","Arnold Arboretum","Quercus rubra","8197","Q. rubra","United States","Tennessee","","","","","",NA,"","","",NA,"","","","",""
"1581-77*F","Arnold Arboretum","Quercus variabilis","1581-77","Q. variabilis","Korea, Republic of","Chungchong-namdo","Uihang-ni","","","","",NA,"","","",NA,"","","","",""
"17631*A","Arnold Arboretum","Quercus variabilis","17631","Q. variabilis","China","Western Hupeh [Western Hubei]","","Ichang","","","",NA,"","","",NA,"","","","",""
"17631*B","Arnold Arboretum","Quercus variabilis","17631","Q. variabilis","China","Western Hupeh [Western Hubei]","","Ichang","","","",NA,"","","",NA,"","","","",""
"18053*A","Arnold Arboretum","Quercus variabilis","18053","Q. variabilis","Korea, Republic of","","","Seoul","","","",NA,"","","",NA,"","","","",""
"3671*A","Arnold Arboretum","Quercus variabilis","3671","Q. variabilis","Japan","","","","","","",NA,"","","",NA,"","","","",""
"1539-80*A","Arnold Arboretum","Sorbus yuana","1539-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1539-80*B","Arnold Arboretum","Sorbus yuana","1539-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1539-80*C","Arnold Arboretum","Sorbus yuana","1539-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1539-80*H","Arnold Arboretum","Sorbus yuana","1539-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
"1539-80*I","Arnold Arboretum","Sorbus yuana","1539-80","Sorb. yuana","China","W. Hubei","Shennongjia Forest District","","between Yinpo and Qiaodonggou canyon on the road between Jiuhuping Forest Farm and Bancang","31","30",NA,"N","110","30",NA,"E","2100","M","Tree ca. 10m. tall d.b.h. ca 25cm. maturing fruit cherry-red, sweet, some with deciduous calyx.",""
