TreeName,Species,YearLastRing,Site,RingCount,ImageName,AnalysisDateTime,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950,1949,1948,1947,1946,1945,1944,1943,1942,1941,1940,1939,1938,1937,1936,1935,1934,1933,1932,1931,1930,1929,1928,1927,1926,1925,1924,1923,1922,1921,1920,1919,1918,1917,1916,1915,1914,1913,1912,1911,1910,1909,1908,1907,1906,1905,1904,1903,1902,1901,1900,1899,1898,1897,1896,1895,1894,1893,1892,1891,1890,1889,1888,1887,1886,1885,1884,1883,1882,1881,1880,1879,1878,1877,1876,1875,1874,1873,1872,1871,1870,1869,1868,1867,1866,1865,1864,1863,1862,1861
2775*C,Larix_decidua,2014,Arnold Arboretum,105,Larix_decidua_2014Aug22.tif,7/20/16 10:52,1.27,1.89,2,1.364,1.83,1.514,1.514,1.259,0.872,2.265,2.452,1.495,1.016,1.4,0.718,0.783,0.392,0.839,0.669,0.503,0.561,0.563,1.11,1.135,1.596,1.47,1.226,1.576,2.297,2.162,1.689,1.665,2.329,1.726,1.763,1.126,1.709,1.757,1.626,1.887,2.493,2.101,1.259,1.605,1.819,1.684,1.785,1.64,0.868,0.915,0.859,1.4,1.34,1.622,1.651,1.773,1.394,1.171,1.506,1.696,1.988,1.193,1.48,1.377,1.245,1.105,1.004,1.283,0.719,0.62,0.65,1.148,0.939,0.626,0.926,1.282,1.317,1.304,1.159,1.306,1.437,1.27,1.661,1.657,1.435,1.874,1.584,0.743,0.934,0.599,0.57,1.195,1.472,1.401,1.704,1.505,1.795,1.524,0.833,2.033,3.834,1.694,4.194,6.23,2.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*D,Larix_decidua,2014,Arnold Arboretum,112,Larix_deciduaAug2014003.tif,7/20/16 10:53,0.541,1.463,1.79,1.438,1.835,0.942,2.01,1.628,1.844,1.124,0.878,1.197,0.705,1.186,0.88,0.57,0.576,1.175,1.316,1.182,2.476,1.774,1.415,1.754,2.692,1.461,1.216,1.823,2.411,1.335,1.871,0.617,1.779,1.794,1.233,1.463,2.154,1.357,0.738,1.487,1.23,1.321,1.56,1.506,0.708,0.688,1.228,1.057,1.413,2.114,1.826,2.017,1.837,1.853,2.192,1.178,0.666,1.11,1.046,1.398,1.209,0.822,1.033,1.759,1.361,0.997,0.804,0.737,0.672,0.868,0.963,0.944,1.055,1.197,1.819,1.521,0.832,0.543,0.616,1.135,1.341,0.992,1.26,0.767,2.107,1.702,1.427,0.883,0.758,1.248,0.943,1.374,1.408,1.68,1.024,2.024,2.769,2.009,2.768,3.894,2.658,3.213,1.947,2.607,7.517,6.658,4.008,3.656,7.704,4.317,8.403,27.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*G,Larix_decidua,2014,Arnold Arboretum,108,Larix_decidua_2014Aug002.tif,7/20/16 10:51,0.18,1.974,2.852,2.758,2.995,2.49,2.775,1.743,1.954,0.971,1.909,1.353,1.288,1.369,1.234,2.147,2.041,0.994,1.904,1.461,4.126,1.539,3.218,2.485,0.956,2.538,1.993,1.846,1.844,2.137,3.41,2.242,2.398,1.777,1.191,1.819,1.504,1.782,0.747,2.013,1.5,1.166,2.192,1.839,1.772,2.914,1.486,2.425,1.548,0.755,2.226,1.56,1.869,1.07,1.016,1.695,1.311,0.819,1.959,1.774,1.267,1.268,0.942,1.386,0.937,1.676,1.859,1.301,1.685,0.782,0.617,0.988,0.642,0.582,1.716,1.301,1.172,1.313,0.597,2.541,2.585,2.549,1.523,2.248,2.342,1.392,1.753,2.624,2.668,3.061,4.336,5.929,3.747,5.215,6.87,6.529,6.525,4.14,4.802,9.484,9.166,5.896,6.266,8.257,11.862,11.003,12.862,3.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*H,Larix_decidua,2014,Arnold Arboretum,124,Larix_decidua_2014Aug001.tif,7/20/16 10:50,1.528,1.995,2.163,0.828,2.552,2.19,1.046,1.64,1.071,2.52,1.723,2.213,1.451,1.603,0.711,1.052,0.344,1.343,0.952,0.541,1.104,0.561,1.609,0.677,1.638,0.736,1.669,2.014,3.458,2.105,1.379,0.762,1.402,0.651,1.55,1.241,1.331,1.529,1.837,2.174,1.831,0.834,1.963,1.174,2.567,2.144,1.261,0.854,1.164,0.92,1.175,1.237,1.437,1.263,1.284,0.878,0.89,1.439,1.703,1.555,0.986,2.066,1.539,1.132,1.617,1.541,2.036,1.147,0.736,0.812,0.527,0.956,0.745,0.66,0.741,1.255,0.911,1.181,0.954,0.877,1.226,1.774,2.593,1.355,1.266,1.343,0.571,0.682,0.721,0.555,0.831,0.857,0.687,0.953,0.826,0.831,1.709,0.762,1.094,0.797,1.007,0.874,0.655,1.237,1.712,2.022,2.142,2.724,3.492,2.222,2.583,3.933,4.222,5.017,4.088,3.819,7.671,9.176,6.563,4.313,6.954,9.379,9.411,10.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*M,Larix_decidua,2014,Arnold Arboretum,105,Larix_decidua_2014Aug27.tif,7/20/16 10:52,0.413,1.799,1.953,0.261,1.852,2.207,1.382,1.764,1.1,0.426,0.465,0.79,0.444,1.145,0.915,0.637,0.814,0.629,0.742,0.758,0.78,0.498,0.656,0.827,0.582,1.682,1.851,3.124,2.134,1.388,2.151,1.65,1.383,0.707,1.75,2.129,2.78,2.789,3.53,3.983,2.521,1.865,1.839,1.838,2.512,2.233,1.094,1.357,1.286,2.184,2.021,1.599,0.897,0.91,0.805,0.94,1.191,2.012,2.183,1.474,1.171,1.317,1.358,1.537,0.743,0.454,0.508,0.278,0.251,0.419,0.536,0.392,0.786,0.828,0.679,0.774,1.048,0.582,2.052,2.146,2.383,2.46,2.588,2.045,1.434,1.486,0.757,1.611,0.867,0.836,0.959,1.442,1.974,2.433,2.905,5.063,4.731,3.132,2.905,4.717,6.079,6.213,5.856,8.128,5.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*O,Larix_decidua,2014,Arnold Arboretum,102,Larix_deciduaAug2014003.tif,7/20/16 10:53,0.215,0.721,1.531,1.872,2.519,1.616,0.555,1.702,1.27,1.378,0.796,1.249,1.287,2.705,2.065,0.857,0.629,0.806,0.675,0.932,1.025,0.753,1.396,1.41,0.77,1.527,2.366,1.541,1.309,1.475,2.531,1.017,1.014,0.913,2.229,1.569,1.593,2.512,2.323,1.126,0.822,1.092,0.907,0.828,0.827,0.571,0.854,0.833,1.036,0.88,0.875,0.606,0.75,0.573,0.421,0.55,0.833,1.323,0.679,0.583,0.518,0.445,0.492,0.963,0.287,0.441,0.119,0.414,0.464,0.364,0.345,0.548,0.634,0.672,0.773,0.804,0.805,0.955,0.366,0.516,0.747,0.277,0.372,0.589,0.865,0.561,0.742,1.391,4.101,1.595,1.746,2.148,1.57,3.481,4.941,5.757,9.676,8.523,9.137,10.122,19.66,13.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*P,Larix_decidua,2014,Arnold Arboretum,110,Larix_decidua_2014Aug002.tif,7/20/16 10:51,1.164,1.81,2.086,1.596,1.782,2.172,1.432,2.23,2.068,1.615,1.451,1.396,1.632,1.702,1.778,1.172,0.261,1.324,1.324,1.251,1.343,1.905,1.106,0.92,1.625,2.102,1.832,3.03,2.72,3.365,2.969,2.235,2.659,2.442,2.381,1.707,3.758,3.595,3.283,4.105,4.089,3.075,2.932,2.374,3.347,3.403,3.07,2.818,3.217,4.412,3.256,3.689,2.991,4.458,3.356,2.994,2.403,2.027,2.094,2.243,2.664,1.955,1.466,1.872,1.426,1.69,1.597,2.205,1.502,1.651,1.024,3.66,1.76,1.462,2.098,1.81,1.291,1.953,1.331,1.661,2.674,3.958,4.131,2.376,2.269,1.839,2.892,2.259,0.897,1.184,1.386,2.242,2.028,2.565,3.186,6.561,3.257,4.463,5.205,6.191,6.856,5.689,6.311,11.247,11.812,9.788,10.399,10.026,8.214,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2775*Q,Larix_decidua,2014,Arnold Arboretum,104,Larix_decidua_2014Aug27.tif,7/20/16 10:52,0.494,1.272,1.343,0.666,1.753,1.798,0.53,1.195,0.674,0.66,0.622,1.112,0.759,1.524,1.2,0.502,0.609,0.669,0.562,0.474,0.478,0.888,0.743,1.131,0.986,0.414,1.004,1.284,0.774,1.128,0.845,1.436,0.88,1.038,1.31,1.677,1.904,2.116,2.088,1.635,0.756,1.143,0.61,0.82,1.013,0.564,0.507,0.624,0.407,0.956,0.641,1.075,0.843,1.183,0.646,0.616,1.341,1.509,1.537,1.141,1.34,2.374,0.788,1.294,0.733,1.228,0.971,1.501,0.986,0.557,0.971,1.022,1.046,0.733,1.607,1.635,2.913,3.21,2.324,2.734,2.313,2.701,3.55,1.912,2.469,3.8,3.387,3.723,4.996,3.3,4.276,4.269,5.245,5.008,6.033,6.486,8.282,7.729,7.977,6.891,12.37,7.404,3.901,29.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14936*B,Larix_gmelinii,2014,Arnold Arboretum,72,Larix_gmellinii_2014Jul002.tif,7/20/16 10:54,1.524,3.199,1.643,0.996,2.311,1.955,1.341,1.627,1.136,1.776,1.644,1.425,0.754,0.873,0.699,1.168,0.763,1.073,0.896,1.379,1.192,0.809,1.144,1.092,3.191,1.793,1.694,0.83,2.533,0.817,1.251,1.322,2.244,1.252,2.99,2.386,1.59,2.709,3.435,1.749,2.136,2.661,1.041,2.298,1.225,1.276,1.341,1.106,0.399,1.777,0.787,2.069,1.234,2.694,0.73,1.093,0.617,1.108,1.24,1.765,2.083,0.646,3.437,3.505,1.929,3.498,2.072,2.487,4.638,9.002,10.189,10.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14936*C,Larix_gmelinii,2014,Arnold Arboretum,85,Larix_gmellinii_2014Jul002.tif,7/20/16 10:54,0.195,1.12,1.322,2.07,2.784,3.301,1.033,1.825,0.573,2.29,1.645,2.176,2.085,1.311,2.032,2.496,1.486,1.239,1.905,1.155,4.047,2.946,0.828,1.701,3.01,1.298,1.89,0.836,2.301,1.132,2.276,1.086,1.847,1.436,3.685,4.337,6.359,5.053,0.999,2.823,1.046,1.574,1.53,1.847,1.744,1.07,0.758,2.023,1.259,1.333,0.968,0.977,0.557,1.501,0.818,2.233,3.695,1.758,0.539,2.744,2.604,0.943,3.712,2.056,2.127,1.744,2.835,1.044,0.445,1.1,2.197,2.666,2.846,4.888,3.694,1.59,1.938,2.831,2.224,2.012,1.589,1.9,1.688,1.493,1.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18503*A,Larix_gmelinii,2014,Arnold Arboretum,83,Larix_gmellinii_2014Jul001.tif,7/20/16 10:54,0.001,0.758,1.579,0.904,1.288,1.105,0.941,1.418,0.947,2.298,1.855,1.912,1.508,1.821,1.372,1.106,0.999,2.037,1.342,1.284,0.932,1.602,2.138,1.219,1.041,0.679,0.317,0.568,1.778,1.141,1.478,1.916,1.055,1.003,1.348,0.946,0.797,1.45,1.001,1.44,1.338,1.571,1.759,0.825,0.701,0.486,0.72,1.369,0.644,1.071,0.954,1.515,1.442,1.569,0.676,1.11,1.049,1.347,1.092,2.999,1.685,1.855,2.606,2.985,3.072,3.336,1.843,2.848,2.173,1.367,1.893,2.591,1.682,2.051,3.465,3.665,3.887,2.913,2.071,2.621,0.696,1.222,4.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18503*G,Larix_gmelinii,2014,Arnold Arboretum,74,Larix_gmellinii_2014Jul001.tif,7/20/16 10:54,0.657,2.035,1.875,1.263,1.525,2.126,1.061,1.999,0.653,3.395,1.705,1.338,0.889,1.738,2.3,1.309,1.632,1.361,1.121,1.288,1.14,0.798,1.124,1.121,2.431,1.779,2.573,0.69,2.757,1.587,1.963,1.814,2.957,1.276,2.34,1.874,2.024,4.899,2.41,3.294,5.203,3.448,2.14,1.85,1.003,3.609,1.288,2.416,0.692,2.054,1.02,2.078,1.12,2.07,0.669,1.679,1.41,1.844,1.251,3.182,4.281,3.068,4.119,3.215,3.021,2.362,2.725,3.93,3.33,2.242,3.462,3.559,3.485,9.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21784*B,Larix_gmelinii,2014,Arnold Arboretum,71,Larix_gmellinii_2014Jul001.tif,7/20/16 10:54,0.43,0.722,1.324,0.399,1.506,1.433,0.398,1.957,1.778,2.719,1.577,1.921,1.028,1.687,1.433,1.723,2.05,1.524,1.379,1.034,1.287,0.853,2.173,2.031,3.737,2.953,2.031,0.762,3.574,1.323,2.132,1.665,3.351,1.542,1.778,1.488,1.334,3.086,2.064,3.356,7.881,3.32,2.865,2.703,1.612,2.86,3.839,4.645,1.976,2.508,1.16,4.245,2.148,3.84,2.099,3.833,1.922,2.822,1.831,3.694,4.262,3.391,3.765,3.361,2.865,3.723,3.367,2.531,1.702,1.132,7.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21784*K,Larix_gmelinii,2014,Arnold Arboretum,85,Larix_gmellinii_2014Jul001.tif,7/20/16 10:54,0.548,1.851,1.573,1.371,1.589,1.403,0.34,0.434,1.409,1.369,1.586,1.556,1.206,1.307,1.084,1.095,1.034,0.972,1.04,0.517,1.214,1.584,1.512,0.623,1.498,1.472,1.994,0.867,1.36,1.756,1.49,2.658,2.419,1.619,1.067,2.226,2.522,1.212,1.29,2.206,2.01,3.273,2.443,2.214,2.391,3.077,4.902,2.378,1.133,1.868,1.726,2.665,2.364,1.296,1.612,2.04,2.767,2.796,1.251,1.302,1.241,1.394,2.98,3.105,2.23,3.603,2.473,3.231,2.189,1.332,2.653,2.446,1.787,0.71,2.2,4.445,3.874,3.594,2.221,1.754,3.205,1.485,3.604,4.381,2.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097*C,Larix_kaempferi,2014,Arnold Arboretum,108,Larix_kaempferi_2014Aug5.tif,7/20/16 10:55,0.923,1.909,2.144,1.662,2.663,2.519,1.463,1.64,1.003,2.211,2.138,1.486,1.658,1.151,1.084,0.825,0.875,1.145,1.023,0.976,0.856,1.565,1.685,1.666,2.304,1.766,1.135,1.378,1.324,1.68,1.276,1.486,2.413,2.594,2.086,1.85,1.814,1.56,1.687,2.232,2.829,2.9,1.919,2.407,2.417,2.286,2.098,1.434,1.865,0.835,1.195,4.35,3.541,4.448,3.491,3.107,1.979,0.951,0.873,4.28,3.135,2.406,5.426,5.056,2.81,3.836,3.677,6.641,3.705,4.327,2.269,1.167,1.505,1.45,1.579,1.786,1.58,2.261,2.917,2.933,3.288,2.378,4.701,2.62,2.189,2.577,1.75,2.541,2.993,3.494,4.628,4.993,3.045,5.139,6.056,5.393,4.428,2.437,7.396,3.254,3.745,2.783,4.618,3.375,4.965,5.955,6.233,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14939*B,Larix_kaempferi,2014,Arnold Arboretum,81,Larix_spp_2014Aug001.tif,7/20/16 10:56,0.634,2.4,1.829,1,2.223,2.556,1.099,2.402,1.248,1.979,3.361,2.168,2.176,2.035,1.707,1.612,1.413,1.669,1.2,1.013,0.809,2.403,2.425,1.291,1.987,1.724,1.425,1.909,2.601,2.23,1.275,2.126,2.23,2.278,1.773,1.128,2.4,3.152,2.966,3.407,3.469,4.19,3.531,1.906,3.025,1.99,2.666,1.324,1.376,1.17,1.109,2.171,1.955,2.866,3.219,3.094,1.503,1.509,2.735,3.392,3.668,2.856,4.286,4.03,3.495,2.919,1.682,1.519,2.476,1.424,1.314,1.131,0.758,0.537,0.97,0.543,0.614,0.578,1.665,1.816,47.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152-79*A,Larix_kaempferi,2014,Arnold Arboretum,29,Larix_spp_2014Aug001.tif,7/20/16 10:56,2.432,2.562,4.669,1.998,6.618,9.748,10.327,10.442,5.037,7.533,5.322,5.818,2.831,7.656,4.356,7.053,2.49,5.563,5.97,3.985,3.413,5.328,8.323,8.12,13.279,15.173,9.304,6.32,29.789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14948*A,Larix_sibirica,2014,Arnold Arboretum,109,Larix_spp_2014Aug001.tif,7/20/16 10:56,0.366,2.388,2.007,0.398,2.36,2.063,0.833,2.453,2.857,3.976,2.736,2.114,2.126,1.36,1.062,0.606,2.014,1.362,0.716,1.189,1.047,0.525,1.367,2.777,2.547,1.102,3.376,4.303,1.198,2.712,3.674,4.379,2.9,3.272,2.161,3.041,3.577,3.429,3.422,5.621,7.245,2.858,2.8,1.729,2.686,2.364,0.487,1.731,1.899,2.886,1.179,3.066,2.04,3.854,2.857,1.029,1.127,1.551,2.775,1.213,2.575,1.584,0.594,1.136,1.202,1.399,0.545,0.722,1.614,1.041,0.435,0.452,0.265,0.405,0.637,0.473,0.768,0.432,0.702,0.564,0.421,0.381,0.433,0.212,0.673,0.267,0.937,0.47,0.603,0.926,1.298,1.5,1.32,1.174,1.228,1.491,2.166,1.768,2.129,2.851,4.408,3.502,3.441,3.192,2.599,3.576,1.111,1.105,2.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445-60*A,Larix_sibirica,2014,Arnold Arboretum,42,Larix_spp_2014Aug001.tif,7/20/16 10:56,0.87,0.908,2.608,2.145,2.568,1.672,1.132,2.246,2.574,2.661,2.568,2.381,2.691,1.296,2.179,1.34,1.178,2.422,2.205,2.223,1.72,2.116,2.868,4.029,4.783,2.774,3.287,3.675,4.263,3.188,2.756,3.756,3.012,3.51,4.374,2.594,5.074,5.974,4.841,8.081,10.831,15.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21774*A,Picea_asperata,2014,Arnold Arboretum,92,Picea_asperata1_2014Jul14002.tif,7/20/16 11:07,0.454,1.101,0.878,1.178,2.365,0.77,3.315,0.9,2.557,2.063,1.981,1.457,2.153,2.402,1.472,1.36,1.325,0.933,1.168,0.717,1.309,0.811,2.698,2.251,1.805,1.394,1.744,1.725,2.16,1.838,1.523,1.829,2.535,3.013,1.935,1.033,3.294,4.549,2.556,6.108,3.83,1.984,1.694,2.886,3.254,2.011,1.34,2.594,2.022,1.775,0.596,1.434,0.784,1.545,2.03,3.513,2.36,1.243,0.936,1.014,1.176,1.939,2.251,2.388,2.504,1.886,5.376,3.201,2.722,4.719,4.219,2.832,2.424,1.368,1.958,2.737,6.939,4.485,2.34,7.581,5.152,2.792,3.657,2.947,2.105,1.714,8.349,3.179,5.528,3.124,4.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284*G,Picea_asperata,2014,Arnold Arboretum,90,Picea_asperata1_2014Jul14002.tif,7/20/16 11:07,0.288,0.8,0.953,1.057,1.32,1.31,1.46,0.666,0.853,0.716,0.631,1.654,1.623,2.322,2.42,3.836,1.755,1.685,1.133,2.276,1.224,1.318,0.878,1.566,1.298,0.889,0.631,0.766,0.883,1.421,1.226,0.835,1.14,1.416,1.523,1.09,1.183,1.033,1.332,1.637,2.68,1.999,0.955,0.872,0.733,0.655,0.619,0.382,0.545,0.528,0.873,1.133,1.397,1.012,1.875,2.004,1.143,2.253,1.013,1.968,1.581,1.223,2.623,2.699,1.574,1.927,1.818,2.277,2.486,2.11,1.614,2.982,5.502,1.811,2.775,2.498,3.612,3.528,2.808,5.156,3.603,2.396,2.03,3.009,2,1.846,2.645,2.814,17.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284-I,Picea_asperata,2014,Arnold Arboretum,82,Picea_asperata1_2014Jul14002.tif,7/20/16 11:07,1.06,1.926,0.735,1.737,1.409,1.689,1.098,1.055,2.193,0.868,1.887,2.027,1.198,0.791,0.686,0.525,0.977,0.839,0.664,0.8,1.272,1.312,0.455,0.975,1.743,1.312,0.55,1.096,1.475,1.599,1.196,0.754,0.542,1.603,1.959,1.181,1.645,1.877,1.74,1.775,1.263,1.139,1.098,0.472,0.536,0.932,1.511,2.248,1.717,0.989,1.057,0.868,0.494,0.696,0.708,1.052,2.458,2.644,2.749,2.405,2.262,1.821,1.982,3.23,3.088,2.675,3.007,2.695,2.949,3.961,3.33,1.325,2.624,1.608,4.923,1.729,1.619,2.845,2.161,3.181,2.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6992*B,Picea_asperata,2014,Arnold Arboretum,62,Picea_Asperata_var_2014Jul14.tif,7/20/16 11:06,0.883,1.174,1.754,2.553,2.198,2.859,2.587,2.146,1.373,1.834,1.747,1.621,1.776,1.471,1.88,0.802,1.167,1.014,1.012,1.362,1.18,1.38,1.927,1.512,1.612,1.422,1.217,1.32,1.125,1.569,1.287,1.172,1.927,2.58,1.632,2.174,2.545,2.38,2.531,3.215,2.887,2.363,2.039,2.083,2.58,2.825,2.431,2.177,2.144,2.028,1.653,2.013,2.22,3.747,5.351,4.172,3.567,3.16,4.733,5.565,7.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6992*G,Picea_asperata,2014,Arnold Arboretum,76,Picea_asperata_2014Jul17.tif,7/20/16 11:06,1.387,4.194,5.036,6.739,5.836,5.094,4.508,3.345,3.436,4.508,4.053,3.69,3.142,4.968,4.391,3.073,5.02,2.564,3.208,2.732,4.846,5.232,4.413,3.972,4.43,5.09,1.449,2.158,2.832,5.78,5.611,5.139,3.11,4.886,2.339,1.384,1.641,1.731,3.017,2.898,2.188,2.07,2.971,2.797,1.287,2.433,1.904,1.833,1.874,1.437,1.415,1.221,2.536,3.143,4.048,3.443,2.941,2.639,1.663,1.639,2.399,3.877,1.524,3.015,5.233,3.695,2.505,5.492,7.094,7.663,8.065,4.375,6.34,7.596,9.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6992*W,Picea_asperata,2014,Arnold Arboretum,81,Picea_Asperata_var_2014Jul14.tif,7/20/16 11:06,1.878,3.404,4.348,6.365,5.307,5.359,8.737,5.202,7.127,6.862,5.327,5.723,4.668,6.352,7.179,2.734,1.962,1.714,1.43,2.155,1.461,1.41,1.607,1.348,1.956,2.188,2.643,2.859,2.575,1.746,1.381,1.682,4.204,3.384,2.841,3.034,2.697,4.537,4.295,3.689,5.804,3.233,3.619,1.947,1.409,1.632,0.82,1.104,1.065,1.561,1.254,2.087,1.852,2.034,2.815,1.966,1.297,1.347,1.893,3.192,2.941,2.802,3.578,8.585,2.998,1.864,2.64,2.996,3.532,5.081,2.932,2.971,3.145,4.801,2.116,2.465,6.127,3.448,2.471,5.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6998*F,Picea_asperata,2014,Arnold Arboretum,84,Picea_asperata_2014Jul16.tif,7/20/16 11:04,1.488,2.665,3.905,1.637,3.033,4.453,7.547,7.846,18.679,10.107,11.727,5.853,4.144,3.19,4.058,2.294,2.184,1.168,1.809,1.199,1.536,2.176,2.996,1.5,1.619,2.359,2.058,4.578,4.943,3.47,2.862,2.569,2.322,1.409,1.651,1.235,1.975,3.366,6.139,7.204,3.525,3.275,1.994,1.413,0.907,1.003,0.995,1.391,1.688,1.294,1.636,3.273,4.786,6.233,5.036,3.686,3.051,4.179,1.496,3.772,4.044,4.223,3.997,2.985,2.221,2.025,4.212,4.479,5.749,4.411,2.348,3.129,3.124,3.243,2.79,3.03,5.318,2.167,1.234,4.115,3.918,3.624,4.607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15877*c,Picea_engelmannii,2014,Arnold Arboretum,63,Picea_engelmanii_20Aug2014.tif,7/20/16 11:08,0.117,0.188,0.266,0.299,0.375,0.399,1.575,1.77,0.958,1.365,1.23,1.85,1.105,2.198,1.169,0.814,0.745,2.302,1.271,1.832,1.486,2.301,1.918,2.761,2.524,2.969,3.506,1.469,1.173,1.972,2.331,2.456,2.576,3.171,3.888,3.42,3.033,3.207,5.676,5.904,3.599,5.398,4.426,3.176,2.895,5.983,4.003,3.724,4.247,6.953,3.665,6.45,4.747,6.331,4.867,1.269,1.155,0.467,0.628,0.651,1.055,1.592,106.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16477*E,Picea_engelmannii,2014,Arnold Arboretum,116,Picea_engelmanii_20Aug2014.tif,7/20/16 11:08,0.381,1.125,1.32,0.816,1.433,1.224,2.113,1.996,1.628,1.656,1.257,1.729,1.427,1.46,1.686,0.987,2.133,1.914,2.134,2.029,1.563,2.253,2.468,1.26,1.861,2.048,1.015,2.426,1.98,1.678,1.807,1.712,2.849,2.83,2.412,2.646,2.448,2.171,2.183,1.961,1.808,2.413,2.197,2.385,2.532,3.57,3.342,3.633,2.373,2.384,2.374,1.711,1.399,1.695,2.045,2.266,1.813,1.458,1.933,2.043,1.634,1.611,1.518,1.6,1.796,1.832,1.872,1.9,1.959,1.693,0.997,1.482,1.467,0.952,1.539,1.173,1.481,1.346,1.633,1.922,1.504,1.614,1.739,2.065,2.945,2.797,1.559,1.887,1.669,2.486,1.269,1.452,1.342,1.306,1.921,2.111,1.944,1.524,2.638,1.83,1.414,1.796,1.542,1.814,3.067,2.784,2.808,3.043,2.894,4.16,2.922,2.932,3.922,4.031,6.486,0.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
