Loop,Ord,ACC_NUM,Species,Loc,BBNE_no01,BBNE_no02,BBNE_no03,BBNE_no04,BBNE_no05,BBNE_no06,BBNE_no07,BBNE_no08,BBNE_no09,BBNE_no10,BBNE_no11,Date01,Date02,Date03,Date04,Date05,Date06,Date07,Date08,Date09,Date10,Date11,FullExpLvs_no01,FullExpLvs_no02,FullExpLvs_no03,FullExpLvs_no04,FullExpLvs_no05,FullExpLvs_no06,FullExpLvs_no07,FullExpLvs_no08,FullExpLvs_no09,FullExpLvs_no10,FullExpLvs_no11,ILS_perc01,ILS_perc02,ILS_perc03,ILS_perc04,ILS_perc05,ILS_perc06,ILS_perc07,ILS_perc08,ILS_perc09,ILS_perc10,ILS_perc11,L_YN_01,L_YN_02,L_YN_03,L_YN_04,L_YN_05,L_YN_06,L_YN_07,L_YN_08,L_YN_09,L_YN_10,L_YN_11
,53,1245-79*B,Catalpa_speciosa,21-SW,<3,<3,<3,<3,<3,11-100,101-1000,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,<25,,>95,>95,>95,<5,<5,<5,<5,<5,<5,<5,,>95,>95,>95
,54,186-82*A,Fraxinus_pennsylvanica,21-SW,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,3-10,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,55,910-77*A,Fraxinus_chinensis_var_rhynchophylla,27-NW,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,75-95,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,56,537-81*A,Fraxinus_sieboldiana,27-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,1001-10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,75-95,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,75-95,,>95,>95,>95
,57,911-77*A,Fraxinus_chinensis,27-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,58,911-77*C,Fraxinus_chinensis,27-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,3-10,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,59,439-80*C,Fraxinus_chinensis,27-NW,<3,<3,<3,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,3-10,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,60,439-80*D,Fraxinus_chinensis,27-NW,<3,<3,<3,<3,1001-10000,1001-10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,11-100,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,>95,,>95,>95,>95,<5,<5,<5,<5,<5,50-74,>95,,>95,>95,>95
,61,14615*B,Fraxinus_chinensis,26-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,>95,,>95,>95,>95,<5,<5,<5,<5,5-24,>95,>95,,>95,>95,>95
,62,1265-79*D,Fraxinus_mandshurica,20-SE,<3,<3,<3,<3,3-10,1001-10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,11-100,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,75-95,,>95,>95,>95,<5,<5,<5,<5,<5,25-49,>95,,>95,>95,>95
,63,17908-1*B,Ulmus_laciniata_var_nikkoensis,26-NE,<3,<3,>10000,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,64,17908-1*C,Ulmus_laciniata_var_nikkoensis,26-NE,<3,<3,>10000,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,65,17908*D,Ulmus_laciniata_var_nikkoensis,20-SE,<3,<3,>10000,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,>95,,>95,>95,>95,<5,<5,<5,<5,>95,>95,>95,,>95,>95,>95
,66,1474-81*C,Thuja_plicata,26-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,,,,,,,,,,<25,<25,,,,,,,,,,<5,<5,<5,<5,<5,<5,>10000,,>95,>10000,>10000
,66.5,304-78*A,Pinus_nigra,26-NW,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,,,,,,,,,,<25,<25,,,,,,,,,,<5,<5,<5,<5,<5,<5,<5,,<5,>10000,>10000
,66.6,5859*B,Quercus_rubra,26-SW,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,>10000,>10000,,>10000,>10000,>10000,<25,<25,<25,<25,<25,>95,>95,,>95,>95,>95,<5,<5,<5,<5,75-95,>95,>95,,>95,>95,>95
,67.5,16847*E,Quercus_macrocarpa,25-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,50-74,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,68,1248-79*B,Liquidambar_styraciflua,19-SE,<3,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,<5,<5,<5,<5,<5,75-95,75-95,,>95,>95,>95
,69,1248-79*A,Liquidambar_styraciflua,19-NE,<3,<3,<3,3-10,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/20/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,75-95,,>95,>95,>95
,70,1236-79*A,Platanus_occidentalis,19-NE,<3,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,71,1236-79*B,Platanus_occidentalis,19-NE,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,72,1726-81*A,Platanus_occidentalis,13-SE,<3,<3,<3,<3,11-100,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,73,1236-79*D,Platanus_occidentalis,19-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,75-95,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,74,111-58*A,Platanus_occidentalis,13-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,50-74,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,75,111-58*B,Platanus_occidentalis,13-SW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,<5,<5,<5,<5,<5,>95,>95,,>95,>95,>95
,76,7321*A,Carya_ovata,13-SW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,77,12907*I,Carya_ovata,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,77,12907*G,Carya_ovata,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,78,12907*N,Carya_ovata,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,79,12907*B,Carya_ovata,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,80,12907*D,Carya_ovata,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,81,7873*A,Carya_glabra,19-NW,<3,<3,3-10,<3,1001-10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,82,12907*Q,Carya_ovata,19-NW,<3,<3,3-10,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,83,7947*A,Carya_ovata,19-NW,<3,<3,3-10,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,84,6986*A,Carya_ovata,19-SW,<3,<3,3-10,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,85,20095*A,Carya_glabra,18-SE,<3,<3,3-10,<3,101-1000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,86,2019*I,Carya_glabra,25-SW,<3,<3,11-100,<3,1001-10000,1001-10000,,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,87,2019*O,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,88,20098*A,Carya_glabra,25-SW,<3,<3,3-10,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,89,2019*S,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,90,2019*R,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,91,2019*B,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,92,2019*C,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,93,6990*A,Carya_glabra,25-SW,<3,<3,11-100,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,25-49,>95,,>95,>95,>95,>95
,94,8188*A,Carya_glabra,25-SW,<3,<3,11-100,11-100,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,25-49,,>95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,95,1248-79*C,Liquidambar_styraciflua,19-SW,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,,<3,,11-100,>10000,>10000,>10000,<25,<25,<25,<25,,5-24,,50-74,>95,>95,>95,<5,<5,<5,<5,,75-95,,>95,>95,>95,>95
,96,16847*M,Quercus_macrocarpa,25-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,<5,,>95,>95,>95,>95
,97,16847*J,Quercus_macrocarpa,25-NE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,<5,,>95,>95,>95,>95
,98,7598*B,Quercus_coccinea,25-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,5-24,,>95,>95,>95,>95
,99,7598*A,Quercus_coccinea,25-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,5-24,,>95,>95,>95,>95
,100,16847*F,Quercus_macrocarpa,25-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,5-24,5-24,,>95,>95,>95,>95
,101,11253*A,Quercus_rubra,25-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,<5,,>95,>95,>95,>95
,102,8197*A,Quercus_rubra,25-SE,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,<5,,>95,>95,>95,>95
,103,16882*B,Quercus_rubra,32-NW,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,>95,>95,>95,>95,<5,<5,<5,<5,<5,<5,,>95,>95,>95,>95
,104,358-82*A,Quercus_alba,32-NW,<3,<3,<3,<3,<3,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,<3,<3,<3,<3,<3,<3,,1001-10000,>10000,>10000,>10000,<25,<25,<25,<25,<25,<25,,75-95,>95,>95,>95,<5,<5,<5,<5,<5,>95,,>95,>95,>95,>95
,105,1225-78*A,Thuja_plicata,31-SE,<3,<3,<3,<3,,>10000,>10000,>10000,>10000,>10000,>10000,4/6/2015,4/13/2015,4/21/2015,4/27/2015,5/4/2015,5/12/2015,5/18/2015,5/25/2015,6/3/2015,6/9/2015,6/15/2015,,,,,,,,,>10000,,,,,,,,,,,>95,,,<5,<5,<5,<5,,<5,,>10000,>95,>10000,>10000
