"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"186",186,"16780*K","Pseudotsuga_menziesii","2015-05-12","2015-05-12",131,131
"187",187,"16780*L","Pseudotsuga_menziesii","2015-05-12","2015-05-25",131,144
"188",188,"220-60*B","Cedrus_libani","2015-05-12","2015-05-12",131,131
"189",189,"220-60*C","Cedrus_libani","2015-05-12","2015-05-25",131,144
"190",190,"47-62*C","Tsuga_heterophylla","2015-06-03","2015-06-03",153,153
"191",191,"503-40*B","Picea_koraiensis","2015-05-12","2015-05-12",131,131
"192",192,"7709*B","Picea_obovata","2015-05-12","2015-05-12",131,131
"193",193,"228-43*A","Picea_meyeri","2015-05-12","2015-05-12",131,131
"194",194,"1341-78*A","Picea_meyeri","2015-05-12","2015-05-12",131,131
"195",195,"1341-78*B","Picea_meyeri","2015-05-12","2015-05-12",131,131
"196",196,"20-48*A","Picea_meyeri","2015-05-12","2015-05-12",131,131
"197",197,"521-28*A","Abies_xborisii_regis","2015-05-12","2015-05-12",131,131
"198",198,"11242*A","Pinus_koraiensis","2015-05-12","2015-06-09",131,159
"199",199,"1180-50*A","Cryptomeria_japonica","2015-05-12","2015-06-03",131,153
"200",200,"16541*A","Pinus_echinata","2015-06-09","2015-06-09",159,159
"201",201,"16541*F","Pinus_echinata","2015-06-09","2015-06-09",159,159
"202",202,"16541*H","Pinus_echinata","2015-06-09","2015-06-09",159,159
"203",203,"16541*I","Pinus_echinata","2015-06-09","2015-06-09",159,159
"204",204,"16589*B","Pinus_sylvestris","2015-05-25","2015-06-03",144,153
"205",205,"16589*G","Pinus_sylvestris","2015-05-25","2015-06-03",144,153
"206",206,"16589*H","Pinus_sylvestris","2015-05-12","2015-06-03",131,153
"207",207,"24-49*A","Pinus_armandii","2015-05-12","2015-06-15",131,165
"208",208,"838-53*A","Cryptomeria_japonica","2015-05-12","2015-06-03",131,153
"209",209,"16589*A","Pinus_sylvestris","2015-05-12","2015-06-03",131,153
"210",210,"686-67*A","Pinus_nigra","2015-05-12","2015-06-03",131,153
"211",211,"254-79*A","Pinusflexilis","2015-05-25","2015-06-15",144,165
"212",212,"1038-65*A","Pinus_nigra","2015-05-12","2015-06-03",131,153
"213",213,"11371*G","Pinus_thunbergii","2015-06-03","2015-06-03",153,153
"214",214,"16536*C","Pinus_densiflora","2015-05-25","2015-06-03",144,153
"215",215,"3-48*A","Metasequoia_glyptostroboides","2015-04-27","2015-05-12",116,131
"216",216,"16576*H","Pinus_tabuliformis","2015-05-12","2015-06-03",131,153
"217",217,"16576*I","Pinus_tabuliformis","2015-05-12","2015-06-03",131,153
"218",218,"16576*J","Pinus_tabuliformis","2015-05-12","2015-06-03",131,153
"219",219,"16576*N","Pinus_tabuliformis","2015-05-12","2015-06-03",131,153
"220",220,"16576*R","Pinus_tabuliformis","2015-05-12","2015-06-03",131,153
"221",221,"565-66*A","Pinus_nigra","2015-05-12","2015-06-03",131,153
