Species,AccessionNumber,WaterDisplaced_mg,TwigVolume_cm3,DateProcessed,Name,Twig+Envelope_mg,Envelope_mg,TwigDryMass_mg,DateProcessed,Name,,,,,,,,,,,,,,,,,,,
METGLY,524-48*A,3933,3.933,9/16/15,Sally,3590,1830,1760,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PHEAMUVARLAV,7544*E,478,0.478,7/17/15,Sally,1600,1390,210,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PHEAMUVARLAV,10724*B,1074,1.074,7/17/15,Sally,1860,1410,450,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PHEAMUVARLAV,7544*C,1091,1.091,7/17/15,Sally,2020,1390,630,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PHEAMUVARLAV,7544*B,954,0.954,7/17/15,Sally,1930,1400,530,11/7/15,Sally,,,,,,,,,,,,,,,,,,,
PICASP,6284*I,1692,1.692,7/14/15,Silvia,2600,1860,740,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICASP,6998*B,1318,1.318,7/14/15,Silvia,2420,1840,580,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICASP,6992*W,1364,1.364,7/14/15,Silvia,2500,1830,670,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICASP,21774*A,1508,1.508,7/14/15,Silvia,2630,1820,810,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICASP,6998*F,2107,2.107,7/15/15,Silvia,2440,1400,1040,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICASP,6992*G,658,0.658,7/15/15,Silvia,1690,1400,290,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICENG,16477*E,2006,2.006,7/30/15,Silvia,2580,1430,1150,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOR,503-40*B,2483,2.483,7/14/15,Silvia,3210,1840,1370,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*Q,1500,1.5,7/15/15,Silvia,2620,1820,800,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*M,2231,2.231,7/15/15,Silvia,3060,1810,1250,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*S,3155,3.155,7/15/15,Silvia,3720,1840,1880,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*C,2114,2.114,7/15/15,Silvia,2680,1400,1280,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*F,1845,1.845,7/15/15,Silvia,2380,1400,980,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*G,1563,1.563,7/15/15,Silvia,2380,1410,970,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICKOY,7707*K,2263,2.263,7/15/15,Silvia,2860,1400,1460,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICMEY,1341-78*A,1875,1.875,7/14/15,Silvia,2840,1860,980,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICMEY,20-48*A,3162,3.162,7/14/15,Silvia,3760,1840,1920,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICMEY,1341-78*B,2485,2.485,7/14/15,Silvia,3170,1850,1320,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICMEY,228-43*A,2554,2.554,7/14/15,Silvia,3060,1840,1220,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICOBO,7709*B,2398,2.398,7/14/15,Silvia,3130,1860,1270,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPIN,1476*H,1723,1.723,9/16/15,Sally,2740,1830,910,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPUN,1476*B,2943,2.943,7/14/15,Silvia,3430,1850,1580,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPUN,1476*I,2286,2.286,7/14/15,Silvia,2880,1840,1040,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPUN,1476*E,2497,2.497,9/16/15,Sally,3200,1840,1360,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPUR,6995*A,2374,2.374,7/14/15,Silvia,3180,1810,1370,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICPUR,6995*H,2594,2.594,7/22/15,Silvia,2910,1410,1500,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICRUB,16511*E,2436,2.436,7/14/15,Silvia,3390,1870,1520,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICRUB,16511*C,1681,1.681,7/14/15,Silvia,2740,1840,900,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICRUB,16511*D,1721,1.721,7/14/15,Silvia,2720,1820,900,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICRUB,16511*G,2513,2.513,7/14/15,Silvia,3210,1820,1390,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16520*C,2636,2.636,7/14/15,Silvia,3380,1860,1520,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*A,2256,2.256,7/14/15,Silvia,3060,1860,1200,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,7599*A,2739,2.739,7/14/15,Silvia,3370,1840,1530,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*C,2100,2.1,7/14/15,Silvia,3260,1850,1410,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*G,3256,3.256,7/14/15,Silvia,3650,1840,1810,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*K,2114,2.114,7/15/15,Silvia,2840,1830,1010,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16520*K,2108,2.108,7/15/15,Silvia,3010,1840,1170,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16520*I,2874,2.874,7/15/15,Silvia,3360,1810,1550,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*I,2952,2.952,7/15/15,Silvia,3580,1860,1720,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16521*A,4149,4.149,7/15/15,Silvia,3670,1410,2260,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16520*P,2590,2.59,7/15/15,Silvia,2750,1390,1360,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*N,4438,4.438,7/22/15,Silvia,4170,1400,2770,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PICWIL,16515*M,2372,2.372,7/22/15,Silvia,2790,1400,1390,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,11373*B,2020,2.02,7/6/15,Silvia,4950,1860,3090,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,1774-77*B,5336,5.336,7/22/15,Silvia,4050,1390,2660,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,1774-77*C,2836,2.836,7/22/15,Silvia,2540,1400,1140,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,16536*C,4099,4.099,7/22/15,Silvia,3560,1410,2150,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,1774-77*A,4055,4.055,7/22/15,Silvia,2960,1390,1570,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINDEN,11373*B,5395,5.395,7/28/15,Silvia,3270,1930,1340,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINECH,16541*H,1480,1.48,7/22/15,Silvia,2010,1370,640,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINECH,16541*F,3203,3.203,7/22/15,Silvia,2770,1400,1370,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINECH,16541*I,2169,2.169,7/22/15,Silvia,2510,1400,1110,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINECH,16541*A,4283,4.283,7/22/15,Silvia,3240,1410,1830,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINKOR,11242*A,3814,3.814,7/22/15,Silvia,3350,1410,1940,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINKOR,1264-83*B,3777,3.777,7/28/15,Silvia,3640,1820,1820,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIG,4802*L,2603,2.603,7/28/15,Silvia,3250,1850,1400,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIG,4802*D,2185,2.185,7/28/15,Silvia,2580,1800,780,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
PINNIG,304-78*A,4391,4.391,7/28/15,Silvia,3830,1810,2020,11/21/15,Risa,,,,,,,,,,,,,,,,,,,
