accession_no,genus,species,var_ssp,priority,loc,leaves,height1,height2,leaves_date,leaves_person,twigs_date,twigs_person,notes
1894-80*A,Sorbus,yuana,,1,51-NE,Y,30.64,31.34,6/17/15,Silvia,7/29/15,"silvia, ailene",
1894-80*B,Sorbus,yuana,,1,49-NE,Y,31.32,30.57,6/17/15,Silvia,7/29/15,"silvia, ailene",
1894-80*C,Sorbus,yuana,,1,BR-8,Y,32.99,29.44,6/17/15,Silvia,10/4/15,Sally,
1894-80*D,Sorbus,yuana,,1,BR-8,Y,34.27,31.81,6/17/15,Silvia,10/4/15,Sally,
1894-80*G,Sorbus,yuana,,1,39-NE,Y,,,6/17/15,Silvia,7/28/15,ailene,
1894-80*K,Sorbus,yuana,,1,55-NE,Y,31.73,31.7,6/17/15,Silvia,7/29/15,"silvia, ailene",
12221*A,Styphnolobium,japonicum,,2,15-SW,Y,54.96,56.96,6/26/15,"AILENE, SILVIA",7/10/15,Sally,
1239-83*A,Styphnolobium,japonicum,,2,EG-32-NE,Y,29.38,28.1,6/26/15,"AILENE, SILVIA",7/10/15,Sally,
1239-83*C,Styphnolobium,japonicum,,2,50-NW,Y,27.23,29.96,6/22/15,Ailene,7/10/15,Sally,
1323-82*A,Tilia,americana,,2,51-NW,Y,62.18,67.83,6/29/15,"Silvia, Sally",7/9/15,Sally,
19804*A,Tilia,americana,,2,7-SE,Y,48.61,46.31,6/29/15,"Silvia, Sally",7/9/15,Sally,
3699*D,Tilia,japonica,,2,7-SE,Y,56.36,36.15,6/29/15,"Silvia, Sally",7/9/15,Sally,
772-53*A,Tilia,japonica,,2,4-SE,Y,45.01,40.68,6/29/15,"Silvia, Sally",7/9/15,Sally,
945-63*A,Tilia,japonica,,2,7-SW,N,53.45,54.13,6/29/15,"Silvia, Sally",7/9/15,Sally,
17908-1*B,Ulmus,laciniata,nikkoensis,2,26-NE,Y,55.87,59.1,6/17/15,Silvia,7/30/15,silvia,
17908-1*C,Ulmus,laciniata,nikkoensis,2,26-NE,Y,52.29,61.76,6/17/15,Silvia,7/30/15,silvia,top unclear
17908*D,Ulmus,laciniata,nikkoensis,2,20-SE,Y,53.44,58.44,6/17/15,Silvia,7/30/15,silvia,
1813-77*A,Zelkova,serrata,,1,20-NW,Y,35.45,34.18,6/17/15,Silvia,7/30/15,silvia,
1813-77*B,Zelkova,serrata,,1,20-NW,Y,42.89,46.4,6/17/15,Silvia,7/30/15,silvia,
1813-77*C,Zelkova,serrata,,1,20-NW,Y,45.49,45.17,6/17/15,Silvia,7/30/15,silvia,
1813-77*D,Zelkova,serrata,,1,20-NW,Y,42.87,41.03,6/17/15,Silvia,7/30/15,silvia,
1813-77*E,Zelkova,serrata,,1,20-NW,Y,37.97,39.08,6/17/15,Silvia,7/30/15,silvia,
1813-77*F,Zelkova,serrata,,1,20-NW,Y,44.54,,6/17/15,Silvia,7/30/15,silvia,top unclear
224-49*A,Calocedrus,decurrens,,1,41-NE,N,,,9/16/15,"Sally,John",9/16/15,"Sally, John",
292-80*A,Calocedrus,decurrens,,1,36-NE,Y,,,7/28/15,Ailene,7/28/15,Ailene,
4000*A,Calocedrus,decurrens,,1,42-SW,N,,,9/14/15,"Sally,John",9/14/15,"Sally,John",too high
4000*D,Calocedrus,decurrens,,1,42-SW,N,,,9/14/15,"Sally,John",9/14/15,"Sally,John",pole pruners
4000*E,Calocedrus,decurrens,,1,42-SW,Y,,,,,,,too high
220-60*A,Cedrus,libani,,1,34-SW,Y,65.04,62.88,7/20/15,"Silvia, Ailene",7/20/15,"Silvia, Ailene",
220-60*B,Cedrus,libani,,1,34-SE,Y,67.42,66.98,7/20/15,"Silvia, Ailene",7/20/15,"Silvia, Ailene",
220-60*C,Cedrus,libani,,1,34-SE,Y,58.31,62.4,7/20/15,"Silvia, Ailene",7/20/15,"silvia, Ailene",
220-60*D,Cedrus,libani,,1,EG-15,Y,63.84,65.22,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
220-60*F,Cedrus,libani,,1,1-SE,Y,67.75,65.75,7/20/15,"silvia, Ailene",7/20/15,"silvia, Ailene",
