ACC_NUM,NAME,LOC,Col_lvs_perc05,Col_lvs_perc06,Col_lvs_perc07,Col_lvs_perc08,Col_lvs_perc09,Col_lvs_perc10,Col_lvs_perc11,Col_lvs_perc12,Col_lvs_perc13,Col_lvs05,Col_lvs06,Col_lvs07,Col_lvs08,Col_lvs09,Col_lvs10,Col_lvs11,Col_lvs12,Col_lvs13,Comments05,Comments06,Comments07,Comments08,Comments09,Comments10,Comments11,Comments12,Comments13,Date05,Date06,Date07,Date08,Date09,Date10,Date11,Date12,Date13,Fall_lvs_perc05,Fall_lvs_perc06,Fall_lvs_perc07,Fall_lvs_perc08,Fall_lvs_perc09,Fall_lvs_perc10,Fall_lvs_perc11,Fall_lvs_perc12,Fall_lvs_perc13,Fall_lvs05,Fall_lvs06,Fall_lvs07,Fall_lvs08,Fall_lvs09,Fall_lvs10,Fall_lvs11,Fall_lvs12,Fall_lvs13
12453*A,Kalopanax septemlobus,53-SE,0,0,0,24,49,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,49,94,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
12453*C,Kalopanax septemlobus,53-SE,0,24,24,0,49,24,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,74,74,94,N,Y,Y,Y,Y,Y,Y,Y,Y
23189*A,Pyrus pyrifolia f. stap,53-SE,0,24,24,0,24,24,24,49,49,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,Temperature sensor,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
16823*K,Quercus glandulifera,53-SW,0,0,0,0,0,24,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,74,N,Y,N,Y,Y,Y,Y,Y,Y
1237-79*C,Gleditsia triacanthos,54-SW,0,24,49,24,74,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,0,49,49,74,94,94,Y,N,Y,Y,Y,Y,Y,Y,Y
12651*I,Aesculus flava,57-NE,24,49,24,74,94,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,0,24,74,74,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
787*B,Liriodendron tulipifera,57-NE,24,24,49,49,49,49,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,24,24,24,24,24,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
16823*B,Quercus glandulifera,57-NE,0,0,24,0,0,49,100,100,49,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,74,24,N,N,Y,Y,N,Y,Y,Y,Y
18053*A,Quercus variabilis,57-NE,0,0,0,0,24,0,24,24,100,N,N,N,N,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,94,N,N,N,N,Y,Y,Y,Y,Y
787*F,Liriodendron tulipifera,57-SE,24,24,49,49,49,74,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,24,24,49,74,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
18409*A,Quercus aliena,58-SW,0,0,0,0,0,0,24,49,100,N,N,N,N,N,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,49,N,N,N,N,N,Y,Y,Y,Y
21784*K,Larix gmelinii,58-SE,0,0,24,49,49,49,49,74,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,0,0,24,24,94,N,N,Y,Y,Y,Y,Y,Y,Y
186-82*C,Fraxinus pennsylvanica,59-NW,0,0,0,0,0,0,74,94,94,N,N,Y,N,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,74,94,N,N,Y,N,N,Y,Y,Y,Y
18503*A,Larix gmelinii,62-NE,0,0,49,74,49,74,94,100,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,24,24,24,74,74,94,N,N,Y,Y,Y,Y,Y,Y,Y
18503*G,Larix gmelinii,62-NE,0,0,24,0,49,49,94,100,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,0,49,49,94,N,N,Y,Y,Y,Y,Y,Y,Y
21784*B,Larix gmelinii,62-NE,0,0,49,49,74,74,100,100,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,24,0,24,24,94,74,74,N,N,Y,Y,Y,Y,Y,Y,Y
14936*B,Larix gmelinii,62-NW,0,0,24,24,24,49,94,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,74,N,N,N,Y,N,Y,Y,Y,Y
14936*C,Larix gmelinii,62-NW,0,0,0,24,24,24,74,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,74,N,N,N,Y,N,Y,Y,Y,Y
7598*J,Quercus coccinea,62-NW,0,0,24,24,24,49,94,94,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,0,24,N,N,Y,Y,Y,Y,Y,Y,Y
7598*H,Quercus coccinea,62-SW,0,0,24,49,49,49,94,94,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,0,24,N,N,Y,Y,Y,Y,Y,Y,Y
20517*A,Quercus coccinea,64-NE,0,0,0,0,0,0,24,49,49,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,24,24,N,N,Y,Y,Y,Y,Y,Y,Y
20517*B,Quercus coccinea,64-NE,0,0,0,0,24,24,24,74,94,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,49,49,N,N,Y,Y,Y,Y,Y,Y,Y
26-80*A,Fagus grandifolia,64-SE,0,0,0,24,24,24,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,49,74,N,N,Y,Y,Y,Y,Y,Y,Y
20513*A,Quercus alba,64-NW,0,0,0,0,0,0,24,24,49,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,24,N,N,Y,Y,Y,Y,Y,Y,Y
18912*A,Crataegus crus-galli,59-NW,0,0,0,0,49,74,94,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,temperature sensor,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,24,74,94,100,N,N,Y,Y,Y,Y,Y,Y,Y
18918*A,Crataegus crus-galli,59-NW,0,0,24,0,74,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,74,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
6500*A,Crataegus crus-galli,59-NW,0,0,24,24,49,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,94,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
11913*A,Crataegus crus-galli,55-SW,0,0,0,0,24,49,74,94,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,74,94,N,N,Y,Y,Y,Y,Y,Y,Y
5029*A,Crataegus crus-galli,55-SW,0,0,0,0,24,24,49,94,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,24,24,74,N,N,Y,Y,Y,Y,Y,Y,Y
5053*A,Crataegus crus-galli,55-SW,0,0,24,24,74,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,74,100,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
16611*J,Populus deltoides,55-NE,24,49,49,49,74,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,49,74,94,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
16611*K,Populus deltoides,55-NE,24,24,24,49,74,49,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,24,49,24,74,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
16611*O,Populus deltoides,55-NE,24,24,24,49,94,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,49,74,49,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
22099*A,Populus deltoides,55-NE,24,24,49,49,94,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,49,74,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
1894-80*K,Sorbus yuana,55-NE,0,0,24,24,74,100,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,24,74,100,100,100,N,N,Y,Y,Y,Y,Y,Y,Y
16611*F,Populus deltoides,51-SE,24,24,24,24,49,94,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,0,24,74,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
16611*H,Populus deltoides,51-SE,24,24,24,24,74,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,24,24,24,24,49,24,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
17908-1*B,Ulmus laciniata var. nik.,26-NE,0,0,0,0,0,24,49,74,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,49,74,Y,Y,Y,Y,Y,Y,Y,Y,Y
17908-1*C,Ulmus laciniata var. nik.,26-NE,0,0,0,0,0,24,49,49,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,49,Y,Y,Y,Y,Y,Y,Y,Y,Y
10793*A,Pyrus call. var. dimorph.,51-NE,0,0,24,0,24,24,24,24,94,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,24,N,N,Y,Y,Y,Y,Y,Y,Y
7272*A,Pyrus pyrifolia,51-NE,0,0,24,0,24,74,24,24,49,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,24,24,24,Y,Y,Y,Y,Y,Y,Y,Y,Y
11728*A,Pyrus ussuriensis,51-NE,24,49,0,49,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,1st one,,,,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,24,24,49,74,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
11728*B,Pyrus ussuriensis,51-NE,49,49,24,24,24,49,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,24,0,24,24,24,24,74,94,Y,Y,Y,Y,Y,Y,Y,Y,Y
17456*A,Pyrus ussuriensis,51-NE,0,24,24,24,49,74,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,2nd one,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,49,94,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
17456*B,Pyrus ussuriensis,51-NE,24,24,24,24,49,49,74,94,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/21/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,49,74,74,74,N,Y,Y,Y,Y,Y,Y,Y,Y
1894-80*A,Sorbus yuana,51-NE,0,0,24,24,24,74,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,last one,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,49,94,100,N,N,Y,Y,Y,Y,Y,Y,Y
1539-80*H,Sorbus yuana,51-NW,0,0,24,24,49,74,94,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,24,74,94,100,N,N,Y,Y,Y,Y,Y,Y,Y
1323-82*A,Tilia americana,51-NW,0,0,24,24,24,24,49,74,74,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,0,0,24,0,0,0,24,24,Y,N,Y,Y,Y,Y,Y,Y,Y
1296-83*A,Larix decidua,51-SE,0,0,24,0,0,0,0,24,24,N,N,Y,N,N,N,Y,Y,Y,,,,,,,,,,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,0,0,0,0,0,0,0,0,N,N,Y,N,N,N,Y,Y,Y
1539-80*I,Sorbus yuana,51-SW,0,24,24,24,49,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,0,0,24,24,94,100,100,100,N,Y,Y,Y,Y,Y,Y,Y,Y
1265-79*C,Fraxinus mandshurica,20-NE,0,49,49,74,100,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,DONE,DONE,DONE,9/19/14,9/23/14,9/30/14,10/7/14,10/14/14,10/20/14,10/29/14,11/6/14,11/11/14,0,24,49,74,74,100,100,100,100,Y,Y,Y,Y,Y,Y,Y,Y,Y
