"","Accession","Species","FirstColorDate","PeakColorDate","FirstDropDate","PeakDropDate","PercDropped"
"69","17631*B","Quercus variabilis","0014-10-14","0014-10-21","0014-10-14","0014-09-16","0"
"70","3671*A","Quercus variabilis","0014-10-07","0014-10-29","0014-10-07","0014-09-16","0"
"71","1539-80*A","Sorbus yuana","0014-09-23","0014-10-29","0014-09-30","0014-11-04","100"
"72","11728*C","Pyrus ussuriensis","0014-09-16","0014-10-29","0014-09-30","0014-11-11","100"
"73","537-81*A","Fraxinus sieboldiana","0014-09-23","0014-10-14","0014-09-23","0014-11-04","100"
"74","186-82*A","Fraxinus pennsylvanica","0014-09-16","0014-10-29","0014-09-16","0014-11-11","100"
"75","1245-79*A","Catalpa speciosa","0014-09-30","0014-10-29","0014-09-30","0014-11-04","94"
"76","1245-79*B","Catalpa speciosa","0014-09-30","0014-10-29","0014-09-30","0014-11-11","74"
"77","14615*B","Fraxinus chinensis","0014-09-23","0014-10-29","0014-09-23","0014-11-04","100"
"78","439-80*C","Fraxinus chinensis","0014-09-16","0014-10-14","0014-09-16","0014-10-14","100"
"79","439-80*D","Fraxinus chinensis","0014-09-16","0014-10-07","0014-09-16","0014-10-14","100"
"80","911-77*A","Fraxinus chinensis","0014-09-30","0014-10-14","0014-10-07","0014-10-21","100"
"81","911-77*C","Fraxinus chinensis","0014-09-30","0014-10-14","0014-09-30","0014-10-21","100"
"82","910-77*A","Fraxinus chinensis var. rhynchophylla","0014-09-30","0014-11-11","0014-09-30","0014-11-11","74"
"83","17908*D","Ulmus laciniata var. nik.","0014-09-16","0014-11-11","0014-09-16","0014-11-11","74"
"84","1265-79*D","Fraxinus mandshurica","0014-09-30","0014-10-21","0014-09-16","0014-10-29","100"
"85","111-58*A","Platanus occidentalis","0014-09-16","0014-11-06","0014-09-16","0014-10-29","49"
"86","111-58*B","Platanus occidentalis","0014-09-16","0014-11-06","0014-09-16","0014-11-11","94"
"87","7321*A","Carya ovata","0014-09-30","0014-10-21","0014-09-30","0014-11-06","100"
"88","20095*A","Carya glabra","0014-09-16","0014-11-06","0014-09-16","0014-11-06","74"
"89","7873*A","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06","100"
"90","12907*B","Carya ovata","0014-10-07","0014-10-21","0014-10-07","0014-11-06","100"
"91","12907*D","Carya ovata","0014-09-16","0014-10-21","0014-10-07","0014-11-06","100"
"92","12907*G","Carya ovata","0014-09-30","0014-10-21","0014-09-30","0014-11-06","100"
"93","12907*I","Carya ovata","0014-09-16","0014-10-14","0014-09-16","0014-10-29","100"
"94","12907*N","Carya ovata","0014-09-16","0014-10-29","0014-09-16","0014-11-11","49"
"95","12907*Q","Carya ovata","0014-10-07","0014-10-21","0014-10-07","0014-10-29","100"
"96","7947*A","Carya ovata","0014-09-16","0014-10-14","0014-09-30","0014-10-29","100"
"97","6986*A","Carya ovata","0014-10-07","0014-10-29","0014-10-07","0014-11-11","94"
"98","1248-79*C","Liquidambar styraciflua","0014-09-16","0014-11-06","0014-09-16","0014-10-29","24"
"99","20098*A","Carya glabra","0014-09-30","0014-10-21","0014-10-07","0014-11-06","100"
"100","2019*B","Carya glabra","0014-09-30","0014-10-21","0014-10-07","0014-11-06","100"
"101","2019*C","Carya glabra","0014-09-30","0014-10-29","0014-09-30","0014-11-06","49"
"102","2019*I","Carya glabra","0014-09-16","0014-10-29","0014-09-16","0014-11-06","49"
"103","2019*O","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06","100"
"104","2019*R","Carya glabra","0014-09-30","0014-10-29","0014-09-30","0014-11-06","94"
"105","2019*S","Carya glabra","0014-09-16","0014-11-06","0014-09-30","0014-11-11","49"
"106","6990*A","Carya glabra","0014-09-16","0014-10-21","0014-09-16","0014-11-06","100"
"107","8188*A","Carya glabra","0014-09-16","0014-10-29","0014-09-16","0014-11-11","94"
"108","16847*J","Quercus macrocarpa","0014-09-30","0014-11-11","0014-09-30","0014-11-06","49"
"109","16847*M","Quercus macrocarpa","0014-09-16","0014-11-11","0014-09-16","0014-11-06","74"
"110","7598*A","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-11-06","49"
"111","7598*B","Quercus coccinea","0014-09-23","0014-11-11","0014-09-30","0014-11-06","49"
"112","16847*F","Quercus macrocarpa","0014-09-30","0014-11-11","0014-09-30","0014-11-11","94"
"113","1264-80*B","Quercus glandulifera","0014-09-16","0014-11-06","0014-10-07","0014-11-06","24"
"114","970-79*B","Carpinus caroliniana","0014-09-16","0014-11-06","0014-09-16","0014-11-06","94"
"115","358-82*A","Quercus alba","0014-09-30","0014-11-06","0014-10-07","0014-11-06","24"
"116","16882*B","Quercus rubra","0014-09-30","0014-11-11","0014-10-07","0014-10-29","24"
"117","7416*A","Fagus engleriana","0014-10-14","0014-11-11","0014-10-14","0014-11-11","24"
"118","14585*G","Fagus grandifolia","0014-09-30","0014-10-29","0014-10-07","0014-11-11","94"
"119","14585*J","Fagus grandifolia","0014-09-30","0014-10-29","0014-10-07","0014-11-11","94"
"120","14585*T","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11","94"
"121","14585*V","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11","94"
"122","14585*W","Fagus grandifolia","0014-09-30","0014-11-04","0014-10-07","0014-11-11","74"
"123","6782*B","Fagus grandifolia","0014-09-30","0014-11-11","0014-10-07","0014-11-11","74"
"124","14585*B","Fagus grandifolia","0014-09-30","0014-11-06","0014-10-07","0014-11-06","74"
"125","14585*C","Fagus grandifolia","0014-09-30","0014-11-06","0014-10-07","0014-11-06","49"
"126","14585*D","Fagus grandifolia","0014-09-30","0014-11-11","0014-10-07","0014-11-11","49"
